,structure,bandgap,A_r_atom,B_r_atom,X_r_atom,A_r_ion,B_r_ion,X_r_ion,A_ie,B_ie,X_ie,A_ea,B_ea,X_ea,A_x,B_x,X_x,A_N,B_N,X_N,A_M,B_M,X_M,HOMO,LUMO,gap_AO,bond_mean,bond_var,bond_cv,delta_X_bx_bond_mean,delta_X_bx_bond_var,ratio_X_bx_bond_mean,ratio_X_bx_bond_var,delta_ea_bx_bond_mean,delta_ea_bx_bond_var,ratio_ea_bx_bond_mean,ratio_ea_bx_bond_var,delta_X_bx_bond_cv,ratio_X_bx_bond_cv,delta_ea_bx_bond_cv,ratio_ea_bx_bond_cv,(B_x - X_x),(B_x / X_x),(B_x - X_x)/(B_r_ion + X_r_ion),(B_x / X_x)/(B_r_ion + X_r_ion),(B_x/B_r_ion),(X_x/X_r_ion),(B_x/B_r_ion)+(X_x/X_r_ion),(B_x/B_r_ion)-(X_x/X_r_ion),(B_x/B_r_ion)*(X_x/X_r_ion),(B_x/B_r_ion)/(X_x/X_r_ion),(B_ea - X_ea),(B_ea / X_ea),(B_ea - X_ea)/(B_r_ion + X_r_ion),(B_ea / X_ea)/(B_r_ion + X_r_ion),(B_ea/B_r_ion),(X_ea/X_r_ion),(B_ea/B_r_ion)+(X_ea/X_r_ion),(B_ea/B_r_ion)-(X_ea/X_r_ion),(B_ea/B_r_ion)*(X_ea/X_r_ion),(B_ea/B_r_ion)/(X_ea/X_r_ion),(B_r_ion + X_r_ion),(B_r_ion / X_r_ion),(A_r_ion + X_r_ion)/(1.414*(B_r_ion + X_r_ion)),log(bond_var),log(bond_cv),log(delta_X_bx_bond_var),log(delta_ea_bx_bond_var),log(ratio_X_bx_bond_var),log(ratio_ea_bx_bond_var),log(delta_X_bx_bond_cv),log(ratio_X_bx_bond_cv),log(delta_ea_bx_bond_cv),log(ratio_ea_bx_bond_cv)
10,K_Cd_Cl_Cl_F_POSCAR,2.4836,2.2,1.55,0.833333333,1.52,1.09,0.755,4.34066373,8.99382,14.45269533,0.50145913,-0.72,3.542213461,0.82,1.69,3.433333333,19,48,14.33333333,39.0983,112.411,29.9681344,-0.32038,-0.204228,0.116152,2.385306639,0.018013261,0.007551759,0.742808693,0.045070181,0.208222696,0.000109766,1.790315042,0.00376647,0.08570961,0.0000574,0.060675355,0.000527155,0.002103803,0.000669221,-1.743333333,0.49223301,-0.944896115,0.266792959,1.550458716,4.547461368,6.097920084,-2.997002653,7.050651112,0.340950387,-4.262213461,-0.203262736,-2.310142797,-0.110169505,-0.660550459,4.691673458,4.031123,-5.352223917,-3.099087055,-0.140792079,1.845,1.443708609,0.872038423,-4.01664707,-4.885974763,-3.099534426,-5.581617056,-9.117159731,-9.765466255,-2.802217677,-7.548015935,-6.16400862,-7.309396209
11,Rb_Sn_I_I_Cl_POSCAR,0,2.35,1.45,1.266666667,1.66,0.83,1.108888889,4.1771281,7.343918,11.290051,0.48591621,1.1120702,3.243610013,0.82,1.96,2.826666667,37,50,41,85.4678,118.71,96.42064667,-0.267904,-0.14445,0.123454,2.894131309,0.017193096,0.005940676,0.303912992,0.009675042,0.240792276,0.0000697,0.74229943,0.016361625,0.119021581,0.0000145,0.031834908,0.000289443,0.022041813,0.000121597,-0.866666667,0.693396226,-0.446991404,0.357625561,2.361445783,2.549098196,4.91054398,-0.187652413,6.019557187,0.926384784,-2.131539813,0.34284954,-1.099361508,0.176827843,1.339843614,2.92509921,4.264942824,-1.585255595,3.919175498,0.458050657,1.938888889,0.748496994,1.009957729,-4.063247371,-5.125932347,-4.638205699,-4.112816625,-9.57131024,-11.14136191,-3.447191855,-8.147552172,-3.814814039,-9.01479826
12,Cs_Ba_Cl_Cl_I_POSCAR,4.2175,2.6,2.15,1.133333333,1.81,1.49,0.944444444,3.893905727,5.2116646,12.128842,0.47163025,0.144626,3.428167647,0.79,0.89,2.993333333,55,56,29,132.9054519,137.327,65.93682333,-0.267904,-0.118967,0.148937,3.018682639,0.018816013,0.006233187,0.701613188,0.011350723,0.098980776,0.0000133,1.093734676,0.017403981,0.014039904,0.000000229,0.016178036,0.000134763,0.015912434,0.0000163,-2.103333333,0.297327394,-0.863989046,0.122133571,0.597315436,3.169411766,3.766727202,-2.57209633,1.893138572,0.188462554,-3.283541647,0.042187552,-1.348784794,0.017329437,0.09706443,3.629824569,3.726888999,-3.53276014,0.352326851,0.026740805,2.434444444,1.57764706,0.80017456,-3.973047016,-5.07786752,-4.478473837,-4.051056306,-11.22774652,-15.28954383,-4.124100759,-8.911992878,-4.140654463,-11.02434545
13,Rb_Ba_Br_Br_Br_POSCAR,3.8028,2.35,2.15,1.15,1.66,1.49,0.8825,4.1771281,5.2116646,11.81381,0.48591621,0.144626,3.3635883,0.82,0.89,2.96,37,56,35,85.4678,137.327,79.904,-0.295334,-0.118967,0.176367,3.103213563,2.33E-15,7.52E-16,0.667050449,1.08E-16,0.096891712,2.28E-18,1.037299636,2.61E-16,0.013855809,4.65E-20,1.62E-16,2.35E-17,2.51E-16,3.36E-18,-2.07,0.300675676,-0.872497366,0.126733688,0.597315436,3.354107649,3.951423085,-2.756792212,2.003460273,0.178084754,-3.2189623,0.042997533,-1.356780738,0.018123302,0.09706443,3.811431501,3.908495931,-3.714367072,0.369954424,0.02546666,2.3725,1.688385269,0.757888524,-33.69290813,-34.82379535,-36.76440045,-35.88201127,-40.62235623,-44.51483464,-36.35893534,-38.28953125,-35.92107873,-40.2345907
14,Rb_Sr_Cl_Cl_F_POSCAR,5.5634,2.35,2,0.833333333,1.66,1.32,0.755,4.1771281,5.69486745,14.45269533,0.48591621,0.052066,3.542213461,0.82,0.95,3.433333333,37,38,14.33333333,85.4678,87.62,29.9681344,-0.32038,-0.131793,0.188587,2.497934211,0.026321837,0.010537442,1.009151501,0.053313373,0.111785708,0.0000215,1.400689074,0.002863471,0.005926833,0.000000337,0.0528299,0.000192747,0.002044331,0.0000569,-2.483333333,0.276699029,-1.196787148,0.13334893,0.71969697,4.547461368,5.267158338,-3.827764399,3.272794167,0.15826346,-3.490147461,0.014698719,-1.681998776,0.00708372,0.039443939,4.691673458,4.731117398,-4.652229519,0.185058084,0.008407222,2.075,1.748344371,0.823094358,-3.63735638,-4.55282046,-2.931568079,-5.855720754,-10.74745762,-14.90318291,-2.940677961,-8.55413211,-6.192684682,-9.774215217
15,Cs_Zn_F_Cl_Br_POSCAR,1.5468,2.6,1.35,0.883333333,1.81,0.88,0.789166667,3.893905727,9.394197,14.06808767,0.47163025,-0.62,3.459167801,0.79,1.65,3.366666667,55,30,20.33333333,132.9054519,65.409,44.7851344,-0.295334,-0.222725,0.072609,2.37581212,0.013653774,0.005746992,0.733774746,0.05245066,0.208877763,0.000255605,1.720505315,0.006958197,0.075742834,0.0000261,0.071480601,0.001223708,0.004044275,0.000345167,-1.716666667,0.49009901,-1.028457314,0.293618977,1.875,4.266103483,6.141103483,-2.391103483,7.998944031,0.439511139,-4.079167801,-0.179233861,-2.443834928,-0.107379248,-0.704545455,4.383317169,3.678771715,-5.087862624,-3.088246188,-0.160733396,1.669166667,1.115100316,1.101247704,-4.293739312,-5.159078691,-2.947882361,-4.96783489,-8.271877274,-10.55357524,-2.638329181,-6.705869685,-5.510452978,-7.9714822
16,Cs_Mg_F_F_Cl_POSCAR,4.9032,2.6,1.5,0.666666667,1.81,0.86,0.73,3.893905727,7.646236,15.93775767,0.47163025,-0.42,3.471701643,0.79,1.31,3.706666667,55,12,11.66666667,132.9054519,24.305,24.4832688,-0.32038,-0.175427,0.144953,2.299639293,0.01462272,0.006358702,1.053523189,0.046431124,0.155035321,0.0000814,1.694628959,0.001945489,0.052866098,0.0000169,0.044072237,0.000524868,0.001148032,0.000319417,-2.396666667,0.353417266,-1.507337526,0.22227501,1.523255814,5.077625571,6.600881385,-3.554369757,7.734522672,0.299993726,-3.891701643,-0.120978138,-2.447611096,-0.076086879,-0.488372093,4.755755675,4.267383582,-5.244127768,-2.322578353,-0.102690745,1.59,1.178082192,1.129762572,-4.225178795,-5.057931011,-3.069785269,-6.24224192,-9.416135285,-10.98819694,-3.121925241,-7.552363756,-6.769706107,-8.049013099
17,Rb_Zn_Br_Br_Cl_POSCAR,0.4258,2.35,1.35,1.1,1.66,0.88,0.848333333,4.1771281,9.394197,12.19841767,0.48591621,-0.62,3.44663396,0.82,1.65,3.026666667,37,30,29,85.4678,65.409,65.087,-0.295334,-0.222725,0.072609,2.604780916,0.004031381,0.001547685,0.529733368,0.00249692,0.209457002,0.00000169,1.563282664,0.00716614,0.069122922,0.000000392,0.004713541,0.00000809,0.004584034,0.00000568,-1.376666667,0.545154185,-0.796528448,0.315421901,1.875,3.567779963,5.442779963,-1.692779963,6.68958743,0.525536894,-4.06663396,-0.179885653,-2.352922253,-0.104080416,-0.704545455,4.062829817,3.358284362,-4.767375271,-2.86244828,-0.173412495,1.728333333,1.037328095,1.026380362,-5.513646282,-6.470995013,-5.992697307,-4.938388124,-13.29078203,-14.752004,-5.357315849,-11.72488183,-5.385175882,-12.07855933
18,Cs_Zn_Br_Br_I_POSCAR,0,2.6,1.35,1.233333333,1.81,0.88,1.012777778,3.893905727,9.394197,11.35962667,0.47163025,-0.62,3.262076327,0.79,1.65,2.86,55,30,41,132.9054519,65.409,95.57082333,-0.267904,-0.222725,0.045179,2.641195194,0.001161894,0.000439912,0.45888645,0.003472621,0.21888005,0.0000692,1.47075592,0.005281224,0.072075126,0.0000054,0.007567496,0.000316265,0.003590823,0.0000749,-1.21,0.576923077,-0.639272087,0.30480233,1.875,2.82391662,4.69891662,-0.94891662,5.294843663,0.663971445,-3.882076327,-0.190062996,-2.050994244,-0.10041485,-0.704545455,3.220920125,2.51637467,-3.925465579,-2.269284633,-0.21874043,1.892777778,0.868897422,1.054696857,-6.757703847,-7.728935851,-5.662845639,-5.24359739,-9.578509695,-12.1291116,-4.883893046,-8.058930088,-5.629373855,-9.499356667
19,Rb_Mg_Br_Br_Cl_POSCAR,2.9719,2.35,1.5,1.1,1.66,0.86,0.848333333,4.1771281,7.646236,12.19841767,0.48591621,-0.42,3.44663396,0.82,1.31,3.026666667,37,12,29,85.4678,24.305,65.087,-0.295334,-0.175427,0.119907,2.646613894,0.010625333,0.00401469,0.651069861,0.003932269,0.163748053,0.00000204,1.465036483,0.010880076,0.046105746,7.26E-08,0.006039704,0.0000124,0.007426488,0.00000157,-1.716666667,0.432819383,-1.004878049,0.253357688,1.523255814,3.567779963,5.091035776,-2.044524149,5.434641571,0.426947802,-3.86663396,-0.121858023,-2.263395489,-0.071331526,-0.488372093,4.062829817,3.574457724,-4.55120191,-1.984172701,-0.12020491,1.708333333,1.013752456,1.038396523,-4.544514223,-5.517795145,-5.538538666,-4.520822052,-13.10256075,-16.43830092,-5.109400275,-11.29781409,-4.90270221,-13.36443494
20,Rb_Cd_Cl_Cl_Br_POSCAR,1.3878,2.35,1.55,1.05,1.66,1.09,0.814166667,4.1771281,8.99382,12.58302533,0.48591621,-0.72,3.52967962,0.82,1.69,3.093333333,37,48,23,85.4678,112.411,50.27,-0.295334,-0.204228,0.091106,2.662304882,0.002289907,0.000860122,0.527909133,0.001965904,0.205358702,0.00000715,1.597533385,0.005171658,0.076684561,0.00000149,0.003723943,0.0000348,0.003237277,0.0000194,-1.403333333,0.546336207,-0.736980306,0.28691617,1.550458716,3.799385873,5.349844589,-2.248927158,5.890790941,0.408081402,-4.24967962,-0.203984519,-2.231779231,-0.107125349,-0.660550459,4.335328088,3.67477763,-4.995878547,-2.863702957,-0.152364584,1.904166667,1.338792221,0.918913398,-6.079244074,-7.058436318,-6.231803089,-5.264561946,-11.8483982,-13.41673444,-5.592972226,-10.26589317,-5.733022735,-10.85023749
21,K_Ca_I_I_Br_POSCAR,3.4051,2.2,1.8,1.316666667,1.52,1.14,1.143055556,4.34066373,6.11315547,10.90544333,0.50145913,0.024551,3.160564353,0.82,1,2.76,19,20,47,39.0983,40.078,111.2376467,-0.267904,-0.141411,0.126493,3.00728518,0.015774483,0.005245423,0.588326643,0.005442884,0.120746396,0.000000918,1.04674114,0.008880503,0.002587956,3.6E-11,0.009251466,0.0000076,0.008483953,1.39E-08,-1.76,0.362318841,-0.770896703,0.158699091,0.877192982,2.414580801,3.291773783,-1.537387819,2.118053334,0.363289968,-3.136013353,0.007767917,-1.37360361,0.003402421,0.021535965,2.765013771,2.786549736,-2.743477806,0.05954724,0.007788737,2.283055556,0.997326853,0.824924757,-4.149361644,-5.250399392,-5.213446212,-4.723897079,-13.90106845,-24.04750218,-4.682973254,-11.78736231,-4.769578782,-18.091377
22,K_Ba_F_F_Br_POSCAR,4.2396,2.2,2.15,0.716666667,1.52,1.49,0.764166667,4.34066373,5.2116646,15.55315,0.50145913,0.144626,3.388655983,0.82,0.89,3.64,19,56,17.66666667,39.0983,137.327,39.3002688,-0.295334,-0.118967,0.176367,2.712725134,0.093455428,0.034450755,1.044527542,0.074633885,0.091581214,0.00000809,1.210780179,0.017537144,0.01591203,0.00000251,0.071452291,0.0000883,0.014484169,0.000157747,-2.75,0.244505495,-1.219963031,0.108468242,0.597315436,4.763358777,5.360674213,-4.16604334,2.845227726,0.125397952,-3.244029983,0.042679458,-1.439126055,0.018933586,0.09706443,4.434446214,4.531510643,-4.337381784,0.430426992,0.021888738,2.254166667,1.949836422,0.716625663,-2.370270662,-3.368224366,-2.595160652,-4.043434133,-11.72488183,-12.8952278,-2.638725311,-9.33477045,-4.234699019,-8.754518074
23,Cs_Sn_Cl_Cl_Br_POSCAR,0.4402,2.6,1.45,1.05,1.81,0.83,0.814166667,3.893905727,7.343918,12.58302533,0.47163025,1.1120702,3.52967962,0.79,1.96,3.093333333,55,50,23,132.9054519,118.71,50.27,-0.295334,-0.14445,0.150884,2.805518832,0.002940385,0.001048072,0.404755625,0.001670365,0.226011605,0.00000696,0.862849643,0.003335045,0.112396872,0.00000268,0.004126847,0.0000308,0.003865152,0.0000238,-1.133333333,0.63362069,-0.689305626,0.385374976,2.361445783,3.799385873,6.160831656,-1.43794009,8.972043749,0.621533548,-2.41760942,0.315062646,-1.470416271,0.191624518,1.339843614,4.335328088,5.675171703,-2.995484474,5.808661656,0.309052415,1.644166667,1.019447287,1.128745848,-5.829214754,-6.860802993,-6.394713114,-5.703269106,-11.87533108,-12.82969376,-5.490241602,-10.38799587,-5.55575427,-10.64582498
24,Cs_Mg_I_I_I_POSCAR,1.1337,2.6,1.5,1.4,1.81,0.86,1.273333333,3.893905727,7.646236,10.45126,0.47163025,-0.42,3.05905238,0.79,1.31,2.66,55,12,53,132.9054519,24.305,126.90447,-0.267904,-0.175427,0.092477,2.954949897,3.94E-17,1.33E-17,0.456860538,9.41E-19,0.166663131,1.25E-19,1.177364254,6.25E-18,0.046463536,9.73E-21,2.06E-18,7.51E-19,5.31E-18,2.09E-19,-1.35,0.492481203,-0.6328125,0.230850564,1.523255814,2.089005236,3.61226105,-0.565749422,3.182089371,0.729177595,-3.47905238,-0.13729742,-1.630805803,-0.064358166,-0.488372093,2.402397158,1.914025065,-2.890769251,-1.173263728,-0.203285328,2.133333333,0.67539267,1.022144625,-37.77276586,-38.85876764,-41.50734381,-39.61395021,-43.52597322,-46.07907306,-40.72382569,-41.7328813,-39.77693984,-43.0119527
25,Rb_Ge_F_Cl_I_POSCAR,0.0562,2.35,1.25,0.966666667,1.66,0.77,0.919444444,4.1771281,7.899435,13.61390433,0.48591621,1.232676413,3.357655828,0.82,2.01,3.266666667,37,32,26.33333333,85.4678,72.64,60.45195773,-0.267904,-0.149882,0.118022,2.468648437,0.038540911,0.015612151,0.530609182,0.073581806,0.254459918,0.00048663,0.869351857,0.017508349,0.150051797,0.000149272,0.138674205,0.001912405,0.020139543,0.000994804,-1.256666667,0.615306122,-0.743834265,0.364206189,2.61038961,3.552870093,6.163259703,-0.942480482,9.274375177,0.734727007,-2.124979415,0.367124112,-1.257797747,0.217304637,1.600878458,3.651831114,5.252709572,-2.050952655,5.846137764,0.438376915,1.689444444,0.837462236,1.079773971,-3.256034978,-4.159705758,-2.609357485,-4.045077426,-7.628006477,-8.809740413,-1.975627946,-6.259393667,-3.905070083,-6.912964825
26,Cs_Pb_F_F_Cl_POSCAR,1.5494,2.6,1.8,0.666666667,1.81,1.1225,0.73,3.893905727,7.4166799,15.93775767,0.47163025,0.3567212,3.471701643,0.79,2.33,3.706666667,55,82,11.66666667,132.9054519,207.2,24.4832688,-0.32038,-0.141831,0.178549,2.444744405,0.024143978,0.00987587,0.574952713,0.03470253,0.259397712,0.000150188,1.276608082,0.001491067,0.042298949,0.0000137,0.06035719,0.000578988,0.001167991,0.000324705,-1.376666667,0.628597122,-0.743139901,0.339323683,2.075723831,5.077625571,7.153349402,-3.00190174,10.5397484,0.408798128,-3.114980443,0.102751111,-1.681500914,0.055466187,0.317791715,4.755755675,5.07354739,-4.43796396,1.511339752,0.066822549,1.8525,1.537671233,0.969674758,-3.723720288,-4.617660871,-3.360942684,-6.508263308,-8.803622715,-11.19811473,-2.8074752,-7.454228806,-6.7524701,-8.03259348
